WARN[0000] Current umask 0002 is too permissive; setting umask 0027 
INFO[0000] Configured                                    admin_ids="[]" data_dir=./.data
WARN[0000] The node resolver plugin type is deprecated and will be removed from a future release  subsystem_name=catalog
INFO[0000] Opening SQL database                          db_type=sqlite3 subsystem_name=sql
INFO[0000] Initializing new database                     subsystem_name=sql
INFO[0000] Connected to SQL database                     read_only=false subsystem_name=sql type=sqlite3 version=3.38.5
INFO[0000] Plugin loaded                                 external=false plugin_name=memory plugin_type=KeyManager subsystem_name=catalog
INFO[0000] Plugin loaded                                 external=false plugin_name=disk plugin_type=UpstreamAuthority subsystem_name=catalog
WARN[0000] No client credentials available for tenant. Selectors will not be produced by the node attestor for this node. This will be an error in a future release.  external=false plugin_name=azure_msi plugin_type=NodeAttestor subsystem_name=catalog tenant=d0b49470-46d3-49eb-9bb4-96fe891119db
INFO[0000] Plugin loaded                                 external=false plugin_name=azure_msi plugin_type=NodeAttestor subsystem_name=catalog
WARN[0000] Service is deprecated and will be removed in a future release  deprecated_service_name=spire.plugin.server.noderesolver.v1.NodeResolver external=false plugin_name=azure_msi plugin_type=NodeResolver subsystem_name=catalog
WARN[0000] This plugin is deprecated and will be removed from a future release. Configure the azure_msi nodeattestor to resolve selectors instead.  external=false plugin_name=azure_msi plugin_type=NodeResolver subsystem_name=catalog
INFO[0000] Plugin loaded                                 external=false plugin_name=azure_msi plugin_type=NodeResolver subsystem_name=catalog
DEBU[0000] Loading journal                               path=.data/journal.pem subsystem_name=ca_manager
INFO[0000] Journal loaded                                jwt_keys=0 subsystem_name=ca_manager x509_cas=0
DEBU[0000] Preparing X509 CA                             slot=A subsystem_name=ca_manager
INFO[0000] X509 CA prepared                              expiration="2022-07-29T10:34:58Z" issued_at="2022-07-28T10:34:58Z" self_signed=false slot=A subsystem_name=ca_manager
INFO[0000] X509 CA activated                             expiration="2022-07-29T10:34:58Z" issued_at="2022-07-28T10:34:58Z" slot=A subsystem_name=ca_manager
DEBU[0000] Successfully rotated X.509 CA                 subsystem_name=ca_manager trust_domain_id="spiffe://example.org" ttl=86399.478852856
DEBU[0000] Preparing JWT key                             slot=A subsystem_name=ca_manager
WARN[0000] UpstreamAuthority plugin does not support JWT-SVIDs. Workloads managed by this server may have trouble communicating with workloads outside this cluster when using JWT-SVIDs.  plugin_name=disk subsystem_name=ca_manager
INFO[0000] JWT key prepared                              expiration="2022-07-29T10:34:58Z" issued_at="2022-07-28T10:34:58Z" slot=A subsystem_name=ca_manager
INFO[0000] JWT key activated                             expiration="2022-07-29T10:34:58Z" issued_at="2022-07-28T10:34:58Z" slot=A subsystem_name=ca_manager
DEBU[0000] Rotating server SVID                          subsystem_name=svid_rotator
DEBU[0000] Signed X509 SVID                              expiration="2022-07-28T11:34:58Z" spiffe_id="spiffe://example.org/spire/server" subsystem_name=svid_rotator
INFO[0000] Building in-memory entry cache                subsystem_name=endpoints
INFO[0000] Completed building in-memory entry cache      subsystem_name=endpoints
DEBU[0000] Initializing API endpoints                    subsystem_name=endpoints
INFO[0000] Starting Server APIs                          address="127.0.0.1:8081" network=tcp subsystem_name=endpoints
INFO[0000] Starting Server APIs                          address=/tmp/spire-server/private/api.sock network=unix subsystem_name=endpoints
DEBU[0000] Starting checker                              name=catalog.datastore subsystem_name=health
DEBU[0000] Starting checker                              name=server.ca subsystem_name=health
DEBU[0000] Starting checker                              name=server.ca.manager subsystem_name=health
DEBU[0000] Starting checker                              name=server subsystem_name=health
INFO[0089] Agent attestation request completed           address="127.0.0.1:54460" agent_id="spiffe://example.org/spire/agent/azure_msi/d0b49470-46d3-49eb-9bb4-96fe891119db/5dc0097f-a814-4bd8-a559-0de0eadd68af" authorized_as=nobody authorized_via= caller_addr="127.0.0.1:54460" method=AttestAgent node_attestor_type=azure_msi request_id=df4ac7eb-3d22-4cf3-bda9-6eab088efabb service=agent.v1.Agent subsystem_name=api
DEBU[0094] Signed X509 SVID                              authorized_as=agent authorized_via=datastore caller_addr="127.0.0.1:54462" caller_id="spiffe://example.org/spire/agent/azure_msi/d0b49470-46d3-49eb-9bb4-96fe891119db/5dc0097f-a814-4bd8-a559-0de0eadd68af" entry_id=f8cb1d6b-26eb-41d5-b145-389866884f56 expiration="2022-07-28T11:36:32Z" method=BatchNewX509SVID request_id=ea9a10f0-1a36-44e5-ada2-d88d23fc2dab service=svid.v1.SVID spiffe_id="spiffe://example.org/agent_node" subsystem_name=api
