WARN[0000] Current umask 0002 is too permissive; setting umask 0027 
INFO[0000] Configured                                    admin_ids="[]" data_dir=./.data
WARN[0000] The node resolver plugin type is deprecated and will be removed from a future release  subsystem_name=catalog
INFO[0000] Opening SQL database                          db_type=sqlite3 subsystem_name=sql
INFO[0000] Initializing new database                     subsystem_name=sql
INFO[0000] Connected to SQL database                     read_only=false subsystem_name=sql type=sqlite3 version=3.38.5
INFO[0000] Plugin loaded                                 external=false plugin_name=azure_msi plugin_type=NodeAttestor subsystem_name=catalog
WARN[0000] Service is deprecated and will be removed in a future release  deprecated_service_name=spire.plugin.server.noderesolver.v1.NodeResolver external=false plugin_name=azure_msi plugin_type=NodeResolver subsystem_name=catalog
WARN[0000] This plugin is deprecated and will be removed from a future release. Configure the azure_msi nodeattestor to resolve selectors instead.  external=false plugin_name=azure_msi plugin_type=NodeResolver subsystem_name=catalog
INFO[0000] Plugin loaded                                 external=false plugin_name=azure_msi plugin_type=NodeResolver subsystem_name=catalog
INFO[0000] Plugin loaded                                 external=false plugin_name=memory plugin_type=KeyManager subsystem_name=catalog
INFO[0000] Plugin loaded                                 external=false plugin_name=disk plugin_type=UpstreamAuthority subsystem_name=catalog
DEBU[0000] Loading journal                               path=.data/journal.pem subsystem_name=ca_manager
INFO[0000] Journal loaded                                jwt_keys=0 subsystem_name=ca_manager x509_cas=0
DEBU[0000] Preparing X509 CA                             slot=A subsystem_name=ca_manager
INFO[0000] X509 CA prepared                              expiration="2022-07-29T10:58:35Z" issued_at="2022-07-28T10:58:35Z" self_signed=false slot=A subsystem_name=ca_manager
INFO[0000] X509 CA activated                             expiration="2022-07-29T10:58:35Z" issued_at="2022-07-28T10:58:35Z" slot=A subsystem_name=ca_manager
DEBU[0000] Successfully rotated X.509 CA                 subsystem_name=ca_manager trust_domain_id="spiffe://example.org" ttl=86399.541565945
DEBU[0000] Preparing JWT key                             slot=A subsystem_name=ca_manager
WARN[0000] UpstreamAuthority plugin does not support JWT-SVIDs. Workloads managed by this server may have trouble communicating with workloads outside this cluster when using JWT-SVIDs.  plugin_name=disk subsystem_name=ca_manager
INFO[0000] JWT key prepared                              expiration="2022-07-29T10:58:35Z" issued_at="2022-07-28T10:58:35Z" slot=A subsystem_name=ca_manager
INFO[0000] JWT key activated                             expiration="2022-07-29T10:58:35Z" issued_at="2022-07-28T10:58:35Z" slot=A subsystem_name=ca_manager
DEBU[0000] Rotating server SVID                          subsystem_name=svid_rotator
DEBU[0000] Signed X509 SVID                              expiration="2022-07-28T11:58:35Z" spiffe_id="spiffe://example.org/spire/server" subsystem_name=svid_rotator
INFO[0000] Building in-memory entry cache                subsystem_name=endpoints
INFO[0000] Completed building in-memory entry cache      subsystem_name=endpoints
DEBU[0000] Initializing API endpoints                    subsystem_name=endpoints
INFO[0000] Starting Server APIs                          address="127.0.0.1:8081" network=tcp subsystem_name=endpoints
INFO[0000] Starting Server APIs                          address=/tmp/spire-server/private/api.sock network=unix subsystem_name=endpoints
DEBU[0000] Starting checker                              name=catalog.datastore subsystem_name=health
DEBU[0000] Starting checker                              name=server.ca subsystem_name=health
DEBU[0000] Starting checker                              name=server.ca.manager subsystem_name=health
DEBU[0000] Starting checker                              name=server subsystem_name=health
INFO[0061] Agent attestation request completed           address="127.0.0.1:54480" agent_id="spiffe://example.org/spire/agent/azure_msi/d0b49470-46d3-49eb-9bb4-96fe891119db/5dc0097f-a814-4bd8-a559-0de0eadd68af" authorized_as=nobody authorized_via= caller_addr="127.0.0.1:54480" method=AttestAgent node_attestor_type=azure_msi request_id=c08e3496-0d01-40d4-ba47-6f6b09d0e452 service=agent.v1.Agent subsystem_name=api
DEBU[0066] Signed X509 SVID                              authorized_as=agent authorized_via=datastore caller_addr="127.0.0.1:54482" caller_id="spiffe://example.org/spire/agent/azure_msi/d0b49470-46d3-49eb-9bb4-96fe891119db/5dc0097f-a814-4bd8-a559-0de0eadd68af" entry_id=0ce299a6-0b38-4b21-b8b0-e17e1ca32541 expiration="2022-07-28T11:59:41Z" method=BatchNewX509SVID request_id=bc5228d6-65e5-4d0d-935e-0e0bdf4af91d service=svid.v1.SVID spiffe_id="spiffe://example.org/agent_node" subsystem_name=api
